,buytime,buyprice,stoploss,target,selltime,profit,open,high,close,low,5ema,9ema,21ema,rsi,openCloseDiff,ema5_highDiff,ema5_lowDiff
1,16-04-2020 23:45,9267.65,9324,8816.85,19-04-2020 23:45,-0.608029004,9323.45,9324,9270.25,9267.65,9093.24415,9057.858588,9031.391227,83.36365877,0.570604229,2.474858966,1.881877822
2,12-05-2020 23:45,9436.45,9584.5,8252.05,29-05-2020 05:35,-1.568916277,9584.2,9584.5,9444.9,9436.45,9281.692869,9246.177559,9199.619553,82.52083066,1.453433776,3.159341971,1.639993124
3,31-01-2019 22:55,8292.2,8342.7,7888.2,31-01-2019 23:50,-0.609006054,8339.1,8342.7,8293.95,8292.2,8282.011285,8257.723354,8216.467497,71.35858262,0.541425334,0.727446932,0.122871074
4,16-04-2020 23:45,5520.3,5586.65,4989.5,17-04-2020 01:45,-1.201927431,5586.4,5586.65,5532.1,5520.3,5445.379175,5424.244188,5400.354406,82.29040301,0.972003437,2.528721592,1.357187559
5,12-05-2020 23:45,5951.15,6033.95,5288.75,28-05-2020 01:30,-1.391327727,6014.2,6033.95,5959.95,5951.15,5793.140457,5753.175689,5703.668616,87.83557219,0.902031858,3.990910489,2.655109407
6,02-02-2021 22:45,10671.65,10820.45,9481.25,03-02-2021 01:10,-1.394348578,10754,10820.45,10674.5,10671.65,10657.70129,10643.71592,10616.95393,70.35996388,0.73925981,1.504084494,0.130708097
7,25-09-2018 23:45,25373,25525.1,24156.2,15-10-2018 23:55,-0.599456115,25525.1,25525.1,25389.8,25373,25359.76141,25303.64261,25184.49212,71.56204983,0.530066484,0.647749046,0.052175903
8,08-04-2020 00:55,19983.85,20324.1,17261.85,16-04-2020 23:45,-1.70262487,20167.1,20324.1,20023.1,19983.85,19857.15262,19656.88964,19339.14746,72.82177428,0.714034244,2.297505807,0.633998842
9,12-05-2020 23:45,19823.1,20122.25,17429.9,19-05-2020 04:20,12.07278377,20017.8,20122.25,19836.2,19823.1,19190.18442,19045.65941,18848.2976,85.38131875,0.907192599,4.632014727,3.192818395
10,23-06-2020 23:45,22350.8,22479.55,21320.8,24-06-2020 23:45,4.608336167,22479.3,22479.55,22358.9,22350.8,22302.67787,22261.78109,22163.6926,81.50886855,0.535603867,0.786813466,0.215303821
11,01-11-2020 22:45,24168.15,24367.6,22572.55,01-11-2020 22:50,-0.825259691,24367.6,24367.6,24169.1,24168.15,23992.51524,23954.38595,23906.91584,74.25539437,0.81460628,1.53927659,0.726719928
12,07-07-2022 23:45,5058.4,5100.15,4724.4,11-07-2022 00:15,-0.825359798,5099,5100.15,5061.85,5058.4,5056.128679,5050.137859,5034.761237,76.15340133,0.72857423,0.863137765,0.04490196
13,03-12-2023 22:45,7034.95,7086.3,6624.15,04-12-2023 02:20,-0.729927007,7085.15,7086.3,7035.25,7034.95,6960.593787,6947.673762,6938.287975,84.97659475,0.704289959,1.773932984,1.056954392
14,27-05-2018 23:45,380.05,383.45,352.85,29-05-2018 01:00,-0.894619129,382.5,383.45,380.5,380.05,380.0143901,379.5638284,377.7737387,70.73261172,0.522875817,0.895973365,0.009369785
