,buytime,buyprice,stoploss,target,selltime,profit,open,high,close,low,5ema,9ema,21ema,rsi,openCloseDiff,ema5_highDiff
1,02-03-2020 04:45,11139.55,11036.25,12689.05,05-03-2020 22:45,-0.927326508,11050.3,11139.55,11139.5,11036.25,11150.92263,11199.79123,11275.96693,29.38291523,0.800754073,0.101988241
2,16-03-2020 00:05,9409.6,9339.25,10464.85,16-03-2020 04:35,-0.747640707,9341.55,9409.6,9397.65,9339.25,9476.545299,9587.218023,9733.096661,29.54766423,0.59695775,0.706431477
3,30-03-2020 00:00,8482.85,8378.95,10041.35,30-03-2020 03:35,-1.224824204,8399.15,8482.85,8482.25,8378.95,8488.085204,8535.373995,8602.104856,37.37452454,0.979692888,0.061677089
4,24-01-2022 22:50,16967.9,16840.75,18875.15,14-02-2022 04:35,-0.749356137,16858.7,16967.9,16948.1,16840.75,17011.59231,17049.4645,17093.48286,37.16244068,0.527492757,0.256838478
5,02-03-2020 04:45,9181.05,9105,10321.8,05-03-2020 22:45,-0.828336628,9116.4,9181.05,9181.05,9105,9193.645818,9233.788214,9296.44362,27.36967337,0.704167824,0.137005696
6,16-03-2020 00:05,7736.1,7686.75,8476.35,16-03-2020 04:35,-0.637918331,7688.05,7736.1,7727.35,7686.75,7788.478484,7873.774747,7986.19755,28.64793294,0.508583149,0.672512411
7,16-03-2020 23:55,7515.1,7450.45,8484.85,17-03-2020 05:30,-0.860267994,7472.45,7515.1,7513.9,7450.45,7528.231424,7554.226266,7608.271015,33.31820315,0.551644286,0.174429071
8,18-03-2020 23:55,6567.75,6483.15,7836.75,23-03-2020 01:25,-1.288112367,6506.25,6567.75,6559.2,6483.15,6690.844059,6796.514497,6928.567668,20.74895897,0.807263081,1.839738872
9,30-03-2020 00:00,6861.3,6783.75,8024.55,30-03-2020 05:10,-1.130252285,6798.05,6861.3,6860.9,6783.75,6865.459162,6902.373479,6954.977522,36.89314074,0.916060575,0.060580974
10,21-12-2020 04:05,11010.15,10879.15,12975.15,21-12-2020 04:25,-1.18981122,10882.5,11010.15,10984.3,10879.15,11013.08352,11067.25408,11155.37103,27.01260483,0.926777309,0.0266367
11,24-01-2022 22:50,14560,14410.9,16796.5,14-02-2022 04:35,-1.024038462,14431.8,14560,14546.8,14410.9,14590.89612,14625.01219,14663.41996,39.15995323,0.790551874,0.21174932
12,02-03-2020 04:45,6865.15,6813.2,7644.4,04-03-2020 03:10,-0.756720538,6829.6,6865.15,6865.15,6813.2,6866.774367,6888.875411,6922.664618,34.09470637,0.517832822,0.023655466
